Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,Job Title_count,Job Experience Required_count,Key Skills_count,Role Category_count,Location_count,Functional Area_count,Industry_count,Role_count
111,39,107,31.0,4,5,17,18.0,73.8544541,18.521428,3930,1,14,1,2.0,45,57,18,3.0
112,13,108,10.0,13,8,29,13.0,77.1212148,28.6882438,3934,1,17,1,26.0,15,19,13,20.0
113,16,109,32.0,2,28,1,56.0,77.00270015,28.42826235,6023,1,10,1,3.0,38,4,187,1.0
114,5,110,33.0,33,5,29,57.0,,,4388,1,4,1,13.0,1,57,13,2.0
115,17,111,12.0,4,9,27,26.0,73.8544541,18.521428,2776,1,22,1,18.0,45,23,3,14.0
116,9,112,4.0,3,11,1,11.0,78.4740613,17.360589,1900,1,11,1,130.0,37,9,187,96.0
117,11,113,9.0,2,0,0,58.0,77.00270015,28.42826235,3304,1,15,1,5.0,38,13,10,1.0
118,0,114,26.0,16,25,11,44.0,77.2219388,28.6517178,6496,1,26,1,11.0,12,15,7,2.0
94,0,115,34.0,16,9,24,59.0,77.2219388,28.6517178,3327,2,26,1,2.0,12,23,4,2.0
119,12,116,9.0,2,0,1,60.0,77.00270015,28.42826235,5858,1,7,1,5.0,38,13,187,1.0
120,33,117,1.0,34,1,11,61.0,121.0977529,14.6719732,6677,1,18,1,35.0,1,74,7,2.0
121,39,118,26.0,4,25,8,62.0,73.8544541,18.521428,6256,1,14,1,11.0,45,15,10,2.0
122,36,119,35.0,5,0,0,63.0,77.590082,12.9767936,2980,1,10,1,1.0,71,13,10,1.0
123,2,120,33.0,2,5,14,64.0,77.00270015,28.42826235,3203,1,16,1,13.0,38,57,17,7.0
124,33,16,33.0,35,25,2,64.0,72.9384385,21.7379333,2117,1,18,3,13.0,1,15,42,7.0
125,7,121,4.0,36,3,1,11.0,,,4640,1,38,1,130.0,1,119,187,96.0
126,14,122,33.0,2,28,3,13.0,77.00270015,28.42826235,6276,1,7,1,13.0,38,4,12,20.0
127,45,123,36.0,4,13,14,65.0,73.8544541,18.521428,5173,1,3,2,3.0,45,12,17,3.0
128,17,124,37.0,16,29,29,66.0,77.2219388,28.6517178,6125,1,22,1,3.0,12,9,13,2.0
85,13,125,4.0,37,3,1,11.0,77.3327483,28.54322285,5518,3,17,1,130.0,2,119,187,96.0
129,34,126,1.0,17,1,14,17.0,77.3271074,28.5707841,5099,4,9,1,35.0,22,74,17,35.0
130,8,127,6.0,18,5,1,27.0,88.35769124,22.5414185,5809,1,21,1,43.0,32,57,187,33.0
131,33,128,6.0,18,5,1,27.0,88.35769124,22.5414185,4466,1,18,1,43.0,32,57,187,33.0
132,46,129,3.0,38,3,30,67.0,72.8773928,19.0759899,1565,1,1,1,15.0,2,119,1,2.0
133,33,130,1.0,39,1,3,1.0,77.45268496,28.7218316,3150,1,18,1,35.0,3,74,12,16.0
134,26,131,29.0,18,1,13,68.0,88.35769124,22.5414185,3702,1,9,1,3.0,32,74,3,1.0
135,1,132,6.0,0,5,1,7.0,72.8773928,19.0759899,5079,1,32,1,43.0,58,57,187,11.0
136,16,133,38.0,40,13,31,69.0,75.8226156,22.7066324,6619,1,10,1,4.0,1,12,1,2.0
137,20,134,1.0,32,1,1,17.0,76.7797143,30.7334421,4874,2,10,1,35.0,5,74,187,35.0
138,47,135,3.0,41,3,7,3.0,72.5797068,23.0216238,5698,1,3,1,15.0,3,119,5,6.0
139,9,136,4.0,11,3,1,11.0,72.5797068,23.0216238,5162,1,11,1,130.0,20,119,187,96.0
140,0,137,11.0,0,2,16,14.0,72.8773928,19.0759899,4160,1,26,1,9.0,58,10,8,4.0
141,37,138,18.0,3,12,1,70.0,78.4740613,17.360589,3495,1,9,1,22.0,37,6,187,1.0
142,1,139,6.0,4,5,17,7.0,73.8544541,18.521428,5049,1,32,1,43.0,45,57,18,11.0
143,31,140,30.0,0,3,1,71.0,72.8773928,19.0759899,6346,1,18,1,14.0,58,119,187,5.0
144,48,141,4.0,17,12,32,11.0,77.3271074,28.5707841,2040,1,1,1,130.0,22,6,2,96.0
145,4,142,39.0,13,24,21,72.0,77.1212148,28.6882438,4142,1,10,1,1.0,15,6,10,1.0
